;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;W795P104492;W795P104492;; 6.457 ; 7.073 ; 9.063 ; 9.548 ; 616 ; 485 ; 3.384 ; 515 ; $47,37 ; $60,81 ; $38,55 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W795P104492
;W804PA00754;W804PA00754;; 12.988 ; 13.791 ; 5.243 ; 5.687 ; 803 ; 444 ; 3.197 ; 556 ; $47,66 ; $57,45 ; $41,62 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;X094P800702;X094P800702;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.500 ; $- ; $- ; $112,28 ; $112,28 ; $76.879,18 ; Requerimiento Adicional ;NO encontradas;Sodimac;NO ESTAN EN AREMOTE (USB);Propiedad Ricoh;Ricoh-SPC252DN;X094P800702
;X094P300401;X094P300401;; 31 ; 31 ; -   ; -   ; -   ; -   ; -   ; 1.500 ; $- ; $- ; $112,28 ; $112,28 ; $76.879,18 ; Requerimiento Adicional ;USB;Sodimac;NO ESTAN EN AREMOTE (USB);Propiedad Ricoh;Ricoh-SPC252DN;X094P300401
;X094P800732;X094P800732;; 129 ; 129 ; -   ; -   ; -   ; -   ; -   ; 1.500 ; $- ; $- ; $112,28 ; $112,28 ; $76.879,18 ; Requerimiento Adicional ;USB;Sodimac;NO ESTAN EN AREMOTE (USB);Propiedad Ricoh;Ricoh-SPC252DN;X094P800732
;X094P300423;X094P300423;; 1.293 ; 1.735 ; 537 ; 537 ; 442 ; -   ; -   ; 1.500 ; $7,94 ; $- ; $112,28 ; $120,22 ; $82.317,90 ; Requerimiento Adicional ;Desconectadas;Sodimac;USB;Propiedad Ricoh;Ricoh-SPC252DN;X094P300423
;W794P904176;W794P904176;; 4.934 ; 5.196 ; 5.028 ; 5.344 ; 262 ; 316 ; 3.738 ; 684 ; $28,36 ; $67,17 ; $51,20 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794P904176
;W804PA00657;W804PA00657;; 4.270 ; 4.898 ; 21.448 ; 24.237 ; 628 ; 2.789 ; 3.372 ; -   ; $220,04 ; $60,59 ; $- ; $280,64 ; $192.163,14 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804PA00657
;S9449200491;L9449200491;; 1.729 ; 1.825 ; 18.508 ; 19.528 ; 96 ; 1.020 ; 2.904 ; 480 ; $78,07 ; $52,18 ; $35,93 ; $166,19 ; $113.793,52 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSPC431DN;
;S9349501246;L9349501246;; 1.546 ; 1.594 ; 12.278 ; 12.706 ; 48 ; 428 ; 2.952 ; 1.072 ; $32,90 ; $53,05 ; $80,24 ; $166,19 ; $113.793,52 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSPC430DN;
